Year,Month,Day,Quarter,Transect,Station,Depth.m,Lon.E,Lat.N,Type,Temp.C,Sal.ppt,DO.mg.per.l,PH,Chl.a.mg.per.m3,NH3.N.mg.per.l,NO3.N.mg.per.l,NO2.N.mg.per.l,PO4.3.P.mg.per.l,SiO2.Si.mg.l,BOD.mg.per.l,S.S.mg.per.l,Transparensy,Fish.egg.Abun,Fish.larvae.Abun,Crab.larvae.Abun,Shrimp.larvae.Abun,Phytoplankton.Den,Zooplankton.Abun
1993,9,20,thirdly,2,2_near,10,120.228296,23.851427,Nearshore,29.9,34.23,6.05,8.29,0.37,NA,0.005,0.002,0.016,0.05,1.81,2.22,NA,123,1226,9683,13605,5448,228338
1993,9,20,thirdly,2,2_off,20,120.2116,23.877288,Offshore,29.7,34.2,6.05,8.25,0.41,NA,0.018,0.003,0.016,0.091,1.72,1.64,NA,171,1709,9397,15377,5750,111742
1993,9,20,thirdly,3,3_near,10,120.1811944,23.81602778,Nearshore,31.1,33.9,5.49,8.18,0.86,NA,0.036,0.003,0.016,0.166,1.4,3.74,NA,215,2799,17657,24763,3786,150085
1993,9,20,thirdly,3,3_off,20,120.1784167,23.81713889,Offshore,30.8,33.78,6.33,8.28,0.36,NA,0.016,0.003,0.016,0.132,2.42,5.18,NA,3586,5738,18827,39806,4147,283659
1993,9,20,thirdly,4,4_near,10,120.16425,23.75797222,Nearshore,29.7,33.65,6.02,8.51,0.42,NA,0.049,0.009,0.016,0.152,2.06,3.82,NA,3990,0,3265,1088,3285,37363
1993,9,20,thirdly,4,4_off,20,120.1314722,23.77852778,Offshore,29.5,33.85,5.62,8.27,0.44,NA,0.021,0.005,0.016,0.084,1.72,9.5,NA,4161,416,1664,7351,814,121083
1993,9,20,thirdly,5,5_near,10,120.1361667,23.71297222,Nearshore,29.9,33.94,6.4,8.3,0.52,NA,0.006,0.003,0.016,0.023,2.26,8.08,NA,8383,917,655,2882,3000,204085
1993,9,20,thirdly,5,5_off,20,120.0972778,23.72547222,Offshore,29.3,34.2,5.73,8.27,0.37,NA,0.012,0.002,0.016,0.078,2.46,2.36,NA,728,1295,1214,1618,546,40299
1993,9,20,thirdly,6,6_near,10,120.1111667,23.66297222,Nearshore,29.4,34.27,5.92,8.25,0.43,NA,0.012,0.002,0.016,0.044,2.9,5.92,NA,1189,1784,669,2899,540,57896
1993,9,20,thirdly,6,6_off,20,120.0914444,23.67297222,Offshore,29.3,34.2,5.96,8.26,0.58,NA,0.012,0.001,0.016,0.044,2.1,4.44,NA,2191,674,1011,2304,2442,59506
1993,9,20,thirdly,7,7_near,10,120.1048,23.573,Nearshore,29.2,34.17,5.72,8.28,1,NA,0.006,0.003,0.016,0.05,0.93,12.9,NA,2561,2359,1078,2898,245,43871
1993,9,20,thirdly,7,7_off,20,120.0738,23.5896,Offshore,29.1,34.14,5.95,8.24,0.38,NA,0.009,0.003,0.016,0.112,2.05,4.86,NA,4425,1281,2387,6520,506,37900
1993,9,20,thirdly,8,8_near,10,120.0914,23.5054,Nearshore,29.5,34.01,6,8.2,0.37,NA,0.025,0.004,0.016,0.071,2.33,10.58,NA,2374,543,407,1289,2686,30996
1993,9,20,thirdly,8,8_off,20,120.0414,23.5342,Offshore,28.4,34.15,5.8,8.23,0.5,NA,0.021,0.003,0.016,0.057,2.88,4.32,NA,2794,524,291,1281,1169,23579
1994,2,12,first,2,2_near,10,120.228296,23.851427,Nearshore,21.5,24.28,7.15,8.16,0.34,NA,1.466,0.129,0.134,1.472,4.19,25.68,NA,36,109,2099,326,5022,16072
1994,2,12,first,2,2_off,20,120.2116,23.877288,Offshore,20.3,34.18,6.89,8.15,0.43,NA,0.216,0.072,0.036,0.104,0.61,16.32,NA,2947,0,574726,76630,2520,1647549
1994,2,12,first,3,3_near,10,120.1811944,23.81602778,Nearshore,19.7,33.58,7.03,8.18,0.38,NA,1.478,0.117,0.131,0.168,0.46,4.28,NA,996,0,5313,332,8986,233461
1994,2,12,first,3,3_off,20,120.1784167,23.81713889,Offshore,19.7,33.68,7.01,8.18,0.42,NA,0.323,0.084,0.053,0.134,0.5,9.54,NA,0,0,1212,0,10672,130197
1994,2,12,first,4,4_near,10,120.1048,23.573,Nearshore,21.2,34,7.5,8.2,0.4,NA,0.051,0.01,0.043,0.132,1.34,6.42,NA,6996,0,259,259,788,10753
1994,2,12,first,4,4_off,20,120.1314722,23.77852778,Offshore,21.6,34.17,7.59,8.38,0.42,NA,0.033,0.008,0.029,0.086,1.78,6.64,NA,0,160,2887,2727,2967,84530
1994,2,12,first,5,5_near,10,120.1361667,23.71297222,Nearshore,21.7,33.93,7.65,8.36,0.39,NA,0.046,0.012,0.009,0.137,1.67,20.36,NA,4732,0,1632,1795,2262,32471
1994,2,12,first,5,5_off,20,120.0972778,23.72547222,Offshore,23.2,32.72,7.18,8.17,0.34,NA,0.545,0.111,0.08,0.313,0.6,20.48,NA,333,48,808,1806,6959,34027
1994,2,12,first,6,6_near,10,120.1111667,23.66297222,Nearshore,22.9,34.11,6.94,8.17,0.36,NA,0.214,0.074,0.07,0.061,0.43,10.5,NA,927,0,2495,1711,2429,54963
1994,2,12,first,6,6_off,20,120.0914444,23.67297222,Offshore,23,34.49,6.98,8.23,0.36,NA,0.002,0.075,0.05,0.027,0.37,5.86,NA,520,74,1115,2824,792,167447
1994,2,12,first,7,7_near,10,120.1048,23.573,Nearshore,23.9,34.49,6.98,8.23,0.38,NA,0.077,0.039,0.003,0.01,0.56,4.56,NA,1320,165,495,6271,1225,216353
1994,2,12,first,7,7_off,20,120.0738,23.5896,Offshore,24.4,34.51,6.74,8.24,0.38,NA,0.044,0.021,0.038,0.023,0.79,1.74,NA,1771,0,295,1476,660,205897
1994,2,12,first,8,8_near,10,120.0914,23.5054,Nearshore,24.4,34.51,6.84,8.24,0.38,NA,0.02,0.009,0.003,0.1,0.54,3.34,NA,0,0,1449,5794,1335,612011
1994,2,12,first,8,8_off,20,120.0414,23.5342,Offshore,21.4,33.95,7.25,8.39,0.37,NA,0.044,0.009,0.007,0.137,1.13,4.66,NA,1151,247,164,4849,724,27698
1994,4,21,secondly,2,2_near,10,120.228296,23.851427,Nearshore,26.2,34.18,7.08,8.14,1.17,NA,0.005,0.001,0.032,0.078,2.05,25.23,NA,52553,33784,161413,18769,59377,1306320
1994,4,21,secondly,2,2_off,20,120.2116,23.877288,Offshore,25.9,34.41,6.9,8.15,0.46,NA,NA,0.001,0.035,0.057,1.18,16.4,NA,50895,15268,35626,20358,8955,1801669
1994,4,21,secondly,3,3_near,10,120.1811944,23.81602778,Nearshore,26.4,34.5,6.94,8.12,0.81,NA,0.025,0.007,0.015,0.149,0.92,23.65,NA,33020,23114,41275,26416,59377,510163
1994,4,21,secondly,3,3_off,20,120.1784167,23.81713889,Offshore,25.8,34.41,6.83,8.15,0.5,NA,0.05,0.001,0.027,0.099,1.05,9.38,NA,5350,1035,2071,690,19003,62215
1994,4,21,secondly,4,4_near,10,120.16425,23.75797222,Nearshore,26.3,34.39,7.2,8.12,0.7,NA,NA,0.001,0.023,0.078,1.69,13.91,NA,61213,13307,18630,0,13552,1309418
1994,4,21,secondly,4,4_off,20,120.1314722,23.77852778,Offshore,26.5,34.31,7.19,8.08,0.53,NA,0.048,0.019,0.013,0.135,0.83,26.15,NA,7889,3586,19365,13627,4450,596725
1994,4,21,secondly,5,5_near,10,120.1361667,23.71297222,Nearshore,26.6,34.44,7.2,8.16,0.4,NA,0.016,0.001,0.028,0.106,1.07,16.23,NA,7832,2611,0,13054,1994,1446366
1994,4,21,secondly,5,5_off,20,120.0972778,23.72547222,Offshore,25.7,34.39,7.05,8.14,0.51,NA,0.007,0.001,0.012,0.064,1.34,12.69,NA,20573,8572,19544,7543,12857,405973
